id,model,bleu,rouge1,rouge2,rougeL,bertscore,radeval_bertscore,ratescore,temporal_f1
688b4baa1edfec0007aab656,base_qwen,7.238384666637361e-10,0.29166666666666663,0.04210526315789474,0.13541666666666666,0.4380858838558197,0.5964804291725159,0.5654964395125045,1.0
688b3935ea433260475d2ba5,base_qwen,3.969525093863945e-06,0.30697674418604654,0.046948356807511735,0.13953488372093023,0.4557066559791565,0.6574003100395203,0.5438192880108884,1.0
688b393aea433260475d2bc0,base_qwen,6.373693290734146e-10,0.2926829268292683,0.06896551724137931,0.12682926829268293,0.4467370808124542,0.5438622236251831,0.4845899199195555,1.9999999994e-10
688b3e01fbf1a400088d36c1,base_qwen,5.67658412104577e-10,0.3084577114427861,0.04020100502512563,0.1691542288557214,0.4626905620098114,0.5698484778404236,0.58642711390266,1.0
6889051ad6d087000727344d,base_qwen,3.901870013618237e-06,0.27868852459016397,0.09917355371900827,0.17213114754098363,0.3663698136806488,0.42224639654159546,0.5254793658530635,1.9999999994e-10
688b2d115ec0230009fc5180,base_qwen,5.962330035543497e-10,0.312,0.04032258064516128,0.13599999999999998,0.40637853741645813,0.6451440453529358,0.5514476298316051,1.0
688b1c35b507a70006120eef,base_qwen,4.710191375714169e-10,0.29457364341085274,0.0546875,0.18604651162790695,0.46189719438552856,0.5707567930221558,0.6446759400173381,1.0
688aa05678904c000688dee2,base_qwen,4.664444736574428e-10,0.25882352941176473,0.0316205533596838,0.14901960784313723,0.3855924904346466,0.5657877922058105,0.5288153386325544,1e-10
688a6cc80ff842000875eae8,base_qwen,5.474038233235344e-10,0.23346303501945523,0.0392156862745098,0.11673151750972761,0.3046627342700958,0.4864836633205414,0.48901454568150854,1.0
688a5831ea433260475c9f74,base_qwen,3.68697803956203e-06,0.27586206896551724,0.10945273631840795,0.16748768472906403,0.4504859149456024,0.4637615382671356,0.5113342049430425,1.0
688a38a52f86c90007f92d80,base_qwen,5.71028203116512e-10,0.27411167512690354,0.05128205128205128,0.18274111675126903,0.46944358944892883,0.5584480166435242,0.5728124027490644,1.0
688a38987508cd00098f32c1,base_qwen,5.408567183973994e-10,0.2383419689119171,0.031413612565445025,0.13471502590673573,0.39296284317970276,0.5375829935073853,0.6333223216309658,1.0
