id,base_qwen_green,medgemma_green,zc_only_green,rology_only_green,zc_rology_green
688b4baa1edfec0007aab656,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.875,1.0
688b3935ea433260475d2ba5,0.1,0.1,0.0,0.42857142857142855,0.1111111111111111
688b393aea433260475d2bc0,0.08333333333333333,0.2857142857142857,0.3333333333333333,0.5,0.3333333333333333
688b3e01fbf1a400088d36c1,0.5,0.7142857142857143,0.5,0.8888888888888888,0.5
6889051ad6d087000727344d,0.14285714285714285,0.0,0.3333333333333333,0.375,0.5
688b2d115ec0230009fc5180,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.7777777777777778,0.375
688b1c35b507a70006120eef,1.0,0.5,0.42857142857142855,0.875,0.5
688aa05678904c000688dee2,0.2,0.0,0.2,0.42857142857142855,0.4
688a6cc80ff842000875eae8,0.0,0.0,0.0,0.375,0.125
688a5831ea433260475c9f74,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.42857142857142855,0.2857142857142857
688a38a52f86c90007f92d80,0.5,0.0,0.375,0.875,0.375
688a38987508cd00098f32c1,0.4,0.0,0.6,0.3333333333333333,0.3333333333333333
688a29474f1dea00078d54ce,0.16666666666666666,0.1,0.14285714285714285,0.1,0.2
688a1c86240fa00008c7d9b7,0.625,0.2222222222222222,0.2857142857142857,0.6666666666666666,0.375
688a1a08b887ab0007e375f6,1.0,0.4,0.42857142857142855,0.8888888888888888,0.5
688a108484245700083c2fda,1.0,0.5,0.5,0.5555555555555556,0.5
688a04fcdd28a300073cc8c2,0.2727272727272727,0.0,0.1111111111111111,0.3333333333333333,0.3
688a0a57ea433260475c3ea1,1.0,0.42857142857142855,1.0,0.1111111111111111,0.8333333333333334
688a03719b275c0007df4492,1.0,0.2727272727272727,0.375,0.875,0.75
688a0260ea433260475c337c,1.0,0.375,0.3333333333333333,0.875,0.375
688a0203c88a350007da75ab,1.0,0.3333333333333333,0.375,0.7142857142857143,0.75
688a00bb9ef0b50008b2d340,0.7142857142857143,0.5,0.375,0.5555555555555556,0.42857142857142855
68894e62ea4332c1c3172d0c,1.0,0.5,0.6,0.8333333333333334,0.8333333333333334
68894e64ea4332c1c3172d12,0.5,0.0,0.2857142857142857,0.625,0.3333333333333333
68894e65ea4332c1c3172d19,0.0,0.1,0.125,0.375,0.125
68894e67ea4332c1c3172d1f,0.0,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.4
6889fa59ea433260475c2a06,0.14285714285714285,0.2857142857142857,0.16666666666666666,0.42857142857142855,0.42857142857142855
6889f57e005bd40008675030,1.0,0.5,0.5,0.75,0.5
6889ed6dea433260475c141f,0.4444444444444444,0.25,0.25,0.6,0.2857142857142857
6889eb71bc83060007fd286f,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.2857142857142857
6889e1c85a07ec00085e67c3,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2
6889db8a9720b000075a957a,0.42857142857142855,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5
6889d663bf9eba00075c7631,0.125,0.25,0.14285714285714285,0.6666666666666666,0.2857142857142857
6889ce42b5fea90007745d1f,1.0,0.6,0.625,0.16666666666666666,0.5555555555555556
6889a69fa56ba00008aa8924,0.42857142857142855,0.625,0.4,0.7142857142857143,1.0
68890f50d94c380007f0f51e,0.7142857142857143,0.0,0.125,0.16666666666666666,0.6666666666666666
68890acfea4332c1c316fdee,0.6,0.42857142857142855,0.375,0.625,0.42857142857142855
688906d9ea4332c1c316fa23,0.7142857142857143,0.42857142857142855,0.5,0.5555555555555556,0.3333333333333333
6888edcfea4332c1c316daca,0.0,0.0,0.14285714285714285,0.2222222222222222,0.14285714285714285
6888eddaea4332c1c316dafb,0.0,0.3333333333333333,0.3333333333333333,0.5,0.2857142857142857
6888eddfea4332c1c316db0a,0.16666666666666666,0.0,0.4,0.42857142857142855,0.3333333333333333
6888ede6ea4332c1c316db1f,0.45454545454545453,0.0,0.25,0.42857142857142855,0.375
6888e041b06c0b00076489b1,0.16666666666666666,0.14285714285714285,0.2,0.42857142857142855,0.2
6888eef4ea4332c1c316dcbd,1.0,0.42857142857142855,1.0,0.8333333333333334,0.8
6888dfb7ea4332c1c316c9c0,0.5,0.375,0.42857142857142855,0.375,0.6
6888dfbaea4332c1c316c9cb,0.16666666666666666,0.3333333333333333,0.14285714285714285,0.375,0.2857142857142857
6888d4cd6a48fa0007690584,1.0,0.5,0.42857142857142855,0.7142857142857143,0.5
6888be0ba5db2500084f6335,0.75,0.42857142857142855,0.3333333333333333,0.7142857142857143,0.8333333333333334
6888bf71f349c000073af7b0,1.0,0.625,0.375,0.875,0.75
6888b1efea4332c1c316904f,1.0,0.4,0.375,0.75,0.75
6888a757830012000748268b,1.0,0.375,0.375,0.75,0.375
6888a1fa6a199500090bb0ab,0.5,0.3333333333333333,0.42857142857142855,0.7142857142857143,0.42857142857142855
68888ebad7ac620007d03cf9,0.2,0.18181818181818182,0.1,0.6666666666666666,0.0
68888e86d7ac620007d03cf6,0.375,0.42857142857142855,0.3333333333333333,0.75,0.6666666666666666
68888486b225520008ec410b,0.5,0.2857142857142857,0.2857142857142857,0.375,0.375
68886805ebb36500099ed3be,1.0,0.2727272727272727,0.2857142857142857,0.875,0.375
